,EVID,I,StdI,Io,Io_std,Io_ini,Depi,Ndata,Mag,StdM,Depth,Hmin,Hmax,Hmin_ini,Hmax_ini,StdIo_inv,RegID,Poids_int,eqStd,Poids_int_norm,Poids_evt,Poids,Poids_evt_norm,poids_grp,Hypo,C1,C2,beta,gamma
59,3680,4.5,0.5020458146424487,4.894685895696833,0.5,4.5,4.289641380945798,2,3.56,0.25,5.383567039406139,3.0,5.5,3.0,5.5,0.2769465872764912,-99,3.9674667724657815,12.155813574880252,0.2707022897845678,16.0,0.006767557244614195,0.1,0.02707022897845678,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
60,3680,4.5,4.47213595499958,4.894685895696833,0.5,,0.0,0,3.56,0.25,5.383567039406139,3.0,5.5,3.0,5.5,0.2769465872764912,-99,0.04999999999999999,108.2818527014517,0.0034115256070100138,16.0,8.528814017525035e-05,0.1,0.0003411525607010014,4.5,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
61,3681,3.0,0.37347846260228446,4.8883481355469804,0.5,4.5,17.3119349037815,8,3.67,0.25,5.237263835341318,1.0,7.0,1.0,7.0,0.27228570053023726,-99,7.1691699410364516,8.743351494092336,0.5232438294313906,16.0,0.013081095735784766,0.1,0.05232438294313906,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
62,3681,3.5,0.71,4.8883481355469804,0.5,4.5,10.493762356337193,1,3.67,0.25,5.237263835341318,1.0,7.0,1.0,7.0,0.27228570053023726,-99,1.9837333862328903,16.62151953167965,0.14478332388830728,16.0,0.003619583097207682,0.1,0.014478332388830728,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
63,3681,4.0,0.5808730815455845,4.8883481355469804,0.5,4.5,8.307032473855836,5,3.67,0.25,5.237263835341318,1.0,7.0,1.0,7.0,0.27228570053023726,-99,2.9637222302740214,13.598582070897011,0.21630807776825106,16.0,0.0054077019442062765,0.1,0.021630807776825106,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
64,3681,4.5,0.8071951598401357,4.8883481355469804,0.5,4.5,4.519981499421367,2,3.67,0.25,5.237263835341318,1.0,7.0,1.0,7.0,0.27228570053023726,-99,1.5347685875671346,18.89691565515506,0.11201550523344624,16.0,0.002800387630836156,0.1,0.011201550523344624,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
65,3681,4.5,4.47213595499958,4.8883481355469804,0.5,,0.0,0,3.67,0.25,5.237263835341318,1.0,7.0,1.0,7.0,0.27228570053023726,-99,0.04999999999999999,104.69534524556667,0.003649263678604784,16.0,9.12315919651196e-05,0.1,0.0003649263678604784,4.0,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
66,3736,2.0,0.9798481058630105,4.998212458329443,0.5,4.0,62.457118642415395,52,4.2,0.25,9.866337466848835,2.0,10.0,2.0,10.0,0.4995600350849224,-99,1.0415556644304511,12.587847296922872,0.25243935370719955,16.0,0.0063109838426799875,0.1,0.02524393537071995,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
67,3736,3.0,1.0196920256627013,4.998212458329443,0.5,4.0,35.3920782969177,33,4.2,0.25,9.866337466848835,2.0,10.0,2.0,10.0,0.4995600350849224,-99,0.9617494664120679,13.099711508475952,0.23309691648795994,16.0,0.005827422912198998,0.1,0.023309691648795993,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
68,3736,3.5,0.9135375987785176,4.998212458329443,0.5,4.0,26.482789700422558,14,4.2,0.25,9.866337466848835,2.0,10.0,2.0,10.0,0.4995600350849224,-99,1.1982491982445653,11.73597389698815,0.29041679049427926,16.0,0.00726041976235698,0.1,0.02904167904942792,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
69,3736,4.0,1.0694058233642159,4.998212458329443,0.5,4.0,19.4037434970599,24,4.2,0.25,9.866337466848835,2.0,10.0,2.0,10.0,0.4995600350849224,-99,0.8744095871354836,13.738371409201699,0.21192855897199153,16.0,0.005298213974299788,0.1,0.021192855897199152,,1.8046361692971822,1.4599883043401851,-2.7580151801355517,0
