EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
740153;4.0;0.44305044942478555;7.4195433328641345;0.25;7.0;39.54963058127123;126;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;5.094406984294661;51.4713905529961;0.01170118622403285;0.03225806451612903;0.0003774576201300919
740153;4.5;0.38698330208899157;7.4195433328641345;0.25;7.0;26.490427326371915;31;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;6.677525387089888;44.957789130269305;0.015337402039319773;0.03225806451612903;0.0004947549044941862
740153;5.0;0.6928444294814045;7.4195433328641345;0.25;7.0;18.28865382234031;43;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;2.083188363111939;80.49120877454213;0.004784811078435242;0.03225806451612903;0.00015434874446565295
740153;5.5;0.7425141517306686;7.4195433328641345;0.25;7.0;12.339375413743902;24;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;1.8138047264110029;86.26158927154854;0.004166072114614257;0.03225806451612903;0.00013438942305207281
740153;6.0;0.9403802636180291;7.4195433328641345;0.25;7.0;7.153068834971498;15;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;1.130818717921183;109.24868687043298;0.0025973426239422927;0.03225806451612903;8.378524593362234e-05
740153;6.5;0.355;7.4195433328641345;0.25;7.0;5.1544554451726095;4;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;7.934933544931561;41.24212867865653;0.018225504042140146;0.03225806451612903;0.0005879194852303273
740153;7.0;0.5623412096685837;7.4195433328641345;0.25;7.0;1.9677057808479916;3;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;3.1622789594220326;65.32999586045943;0.007263340975821378;0.03225806451612903;0.0002343013218006896
380116;3.0;0.7762842307007255;4.637049399621171;0.375;4.5;14.761012676746287;46;3.3;0.25;5.962531481424802;3.0;9.0;3.0;9.0;0.375;-99;1.6594282218603176;90.18482854583439;0.0038114894843038673;0.03225806451612903;0.00012295127368722154
380116;3.5;0.622748756154631;4.637049399621171;0.375;4.5;13.54835444690094;15;3.3;0.25;5.962531481424802;3.0;9.0;3.0;9.0;0.375;-99;2.578542313173398;72.34784319944391;0.005922574283131757;0.03225806451612903;0.00019105078332683084
380116;4.0;1.2253017379374866;4.637049399621171;0.375;4.5;5.867084313842209;8;3.3;0.25;5.962531481424802;3.0;9.0;3.0;9.0;0.375;-99;0.6660608403756043;142.34944210196986;0.0015298545942241462;0.03225806451612903;4.9350148200778906e-05
